"U:0","U:1","U:2","d","nuT","p","Points:0","Points:1","Points:2"
-0.0091025,0.00034838,0,0.00069505,1.4888e-06,-0.0040131,0.026758,0.00069259,0
-0.01008,0.00036435,0,0.00069505,1.6271e-06,-0.0042127,0.027832,0.00069259,0
-0.01111,0.00038025,0,0.00069505,1.7715e-06,-0.0044089,0.028921,0.00069259,0
-0.012194,0.00039585,0,0.00069505,1.9218e-06,-0.0045993,0.030026,0.00069259,0
-0.01333,0.00041093,0,0.00069505,2.0778e-06,-0.0047812,0.031146,0.00069259,0
-0.014518,0.00042522,0,0.00069505,2.239e-06,-0.0049515,0.032282,0.00069259,0
-0.015755,0.00043846,0,0.00069505,2.4049e-06,-0.0051066,0.033435,0.00069259,0
-0.017039,0.00045037,0,0.00069505,2.5749e-06,-0.0052427,0.034604,0.00069259,0
-0.018364,0.00046062,0,0.00069505,2.7483e-06,-0.0053551,0.035789,0.00069259,0
-0.019728,0.0004689,0,0.00069505,2.9243e-06,-0.0054388,0.036992,0.00069259,0
-0.021122,0.00047483,0,0.00069505,3.1017e-06,-0.0054885,0.038211,0.00069259,0
-0.02254,0.00047803,0,0.00069505,3.2795e-06,-0.0054981,0.039448,0.00069259,0
-0.023972,0.00047809,0,0.00069505,3.4564e-06,-0.0054612,0.040703,0.00069259,0
-0.025408,0.00047455,0,0.00069505,3.6309e-06,-0.005371,0.041975,0.00069259,0
-0.026836,0.00046694,0,0.00069505,3.8014e-06,-0.0052203,0.043266,0.00069259,0
-0.028242,0.00045473,0,0.00069505,3.966e-06,-0.0050015,0.044575,0.00069259,0
-0.029609,0.0004374,0,0.00069505,4.1228e-06,-0.0047074,0.045903,0.00069259,0
-0.030919,0.00041441,0,0.00069505,4.2695e-06,-0.0043303,0.047249,0.00069259,0
-0.032151,0.00038514,0,0.00069505,4.4038e-06,-0.0038632,0.048615,0.00069259,0
-0.033279,0.000349,0,0.00069505,4.5226e-06,-0.0033017,0.05,0.00069259,0
1.7512e-05,-8.3517e-05,0,0,6.6823e-09,4.3857e-07,0,0.001395,0
8.9522e-05,-0.00015862,0,0.00069505,5.8843e-08,8.8352e-06,0.00069259,0.001395,0
0.00029113,-0.00029516,0,0.0012207,2.1669e-07,2.0051e-05,0.001395,0.001395,0
0.00058586,-0.00039183,0,0.0013975,3.5274e-07,1.9046e-05,0.0021075,0.001395,0
0.0009329,-0.00043757,0,0.0013975,3.9949e-07,3.9767e-06,0.0028301,0.001395,0
0.0012961,-0.00043762,0,0.0013975,4.1905e-07,-2.6698e-05,0.003563,0.001395,0
0.001642,-0.00039997,0,0.0013975,4.1391e-07,-7.3931e-05,0.0043064,0.001395,0
0.0019409,-0.00033274,0,0.0013975,3.8809e-07,-0.00013776,0.0050603,0.001395,0
0.002167,-0.00024322,0,0.0013975,3.4739e-07,-0.0002176,0.005825,0.001395,0
0.0022989,-0.00013786,0,0.0013975,3.0285e-07,-0.00031232,0.0066005,0.001395,0
0.0023201,-2.2682e-05,0,0.0013975,2.7745e-07,-0.00042042,0.0073872,0.001395,0
0.0022197,9.6308e-05,0,0.0013975,2.9539e-07,-0.00054012,0.008185,0.001395,0
0.0019931,0.00021328,0,0.0013975,3.5697e-07,-0.00066952,0.0089942,0.001395,0
0.0016412,0.00032317,0,0.0013975,4.4775e-07,-0.00080674,0.0098149,0.001395,0
0.0011701,0.00042219,0,0.0013975,5.6192e-07,-0.00095006,0.010647,0.001395,0
0.00058915,0.00050822,0,0.0013975,7.0029e-07,-0.0010981,0.011492,0.001395,0
-9.0336e-05,0.00058088,0,0.0013975,8.6235e-07,-0.0012497,0.012348,0.001395,0
-0.00085701,0.00064133,0,0.0013975,1.0451e-06,-0.0014044,0.013216,0.001395,0
-0.0017008,0.00069177,0,0.0013975,1.246e-06,-0.0015617,0.014097,0.001395,0
-0.0026141,0.0007349,0,0.0013975,1.4637e-06,-0.0017219,0.014991,0.001395,0
-0.0035918,0.00077345,0,0.0013975,1.6977e-06,-0.001885,0.015897,0.001395,0
-0.0046315,0.00080981,0,0.0013975,1.9478e-06,-0.0020514,0.016816,0.001395,0
-0.0057329,0.00084588,0,0.0013975,2.2142e-06,-0.0022214,0.017748,0.001395,0
-0.0068978,0.00088304,0,0.0013975,2.497e-06,-0.0023953,0.018693,0.001395,0
-0.0081291,0.00092215,0,0.0013975,2.7964e-06,-0.0025733,0.019652,0.001395,0
-0.0094306,0.00096365,0,0.0013975,3.1127e-06,-0.0027555,0.020625,0.001395,0
-0.010806,0.0010077,0,0.0013975,3.4458e-06,-0.0029418,0.021611,0.001395,0
-0.012261,0.001054,0,0.0013975,3.796e-06,-0.0031318,0.022612,0.001395,0
-0.013797,0.0011025,0,0.0013975,4.163e-06,-0.003325,0.023627,0.001395,0
-0.01542,0.0011525,0,0.0013975,4.5469e-06,-0.0035207,0.024656,0.001395,0
-0.017132,0.0012035,0,0.0013975,4.9472e-06,-0.0037178,0.0257,0.001395,0
-0.018934,0.0012549,0,0.0013975,5.3635e-06,-0.0039151,0.026758,0.001395,0
-0.020829,0.001306,0,0.0013975,5.795e-06,-0.004111,0.027832,0.001395,0
-0.022815,0.0013561,0,0.0013975,6.2409e-06,-0.0043035,0.028921,0.001395,0
-0.024893,0.0014042,0,0.0013975,6.6998e-06,-0.0044905,0.030026,0.001395,0
-0.027059,0.0014497,0,0.0013975,7.1703e-06,-0.0046693,0.031146,0.001395,0
-0.029309,0.0014916,0,0.0013975,7.6507e-06,-0.0048368,0.032282,0.001395,0
-0.031639,0.001529,0,0.0013975,8.1391e-06,-0.0049896,0.033435,0.001395,0
-0.03404,0.001561,0,0.0013975,8.633e-06,-0.0051238,0.034604,0.001395,0
-0.036505,0.0015864,0,0.0013975,9.1298e-06,-0.005235,0.035789,0.001395,0
-0.039021,0.0016043,0,0.0013975,9.6266e-06,-0.0053182,0.036992,0.001395,0
-0.041577,0.0016135,0,0.0013975,1.012e-05,-0.0053682,0.038211,0.001395,0
-0.044156,0.0016128,0,0.0013975,1.0607e-05,-0.005379,0.039448,0.001395,0
-0.046742,0.0016009,0,0.0013975,1.1083e-05,-0.0053443,0.040703,0.001395,0
-0.049314,0.0015765,0,0.0013975,1.1544e-05,-0.0052573,0.041975,0.001395,0
-0.051848,0.0015381,0,0.0013975,1.1985e-05,-0.005111,0.043266,0.001395,0
-0.05432,0.0014844,0,0.0013975,1.2402e-05,-0.0048981,0.044575,0.001395,0
-0.056699,0.0014138,0,0.0013975,1.2789e-05,-0.0046111,0.045903,0.001395,0
-0.058954,0.0013246,0,0.0013975,1.3141e-05,-0.0042426,0.047249,0.001395,0
-0.061047,0.0012153,0,0.0013975,1.3452e-05,-0.0037857,0.048615,0.001395,0
-0.062932,0.0010845,0,0.0013975,1.3715e-05,-0.003236,0.05,0.001395,0
2.8315e-05,-0.00018207,0,0,1.203e-08,-2.3493e-06,0,0.0021075,0
0.00012444,-0.00033219,0,0.00069505,8.2877e-08,6.6727e-06,0.00069259,0.0021075,0
0.00038515,-0.00059104,0,0.0013975,3.5247e-07,1.9068e-05,0.001395,0.0021075,0
0.00075171,-0.00076045,0,0.0019307,7.4406e-07,1.8583e-05,0.0021075,0.0021075,0
0.0011699,-0.0008361,0,0.00211,9.4455e-07,3.2464e-06,0.0028301,0.0021075,0
0.0015954,-0.00082619,0,0.00211,9.2115e-07,-2.7452e-05,0.003563,0.0021075,0
0.0019878,-0.00074364,0,0.00211,8.2308e-07,-7.3677e-05,0.0043064,0.0021075,0
0.00231,-0.00060221,0,0.00211,6.5828e-07,-0.00013531,0.0050603,0.0021075,0
0.0025288,-0.00041485,0,0.00211,4.4751e-07,-0.00021183,0.005825,0.0021075,0
0.0026151,-0.00019381,0,0.00211,3.401e-07,-0.00030234,0.0066005,0.0021075,0
0.0025464,4.8524e-05,0,0.00211,4.7269e-07,-0.00040556,0.0073872,0.0021075,0
0.0023084,0.00029934,0,0.00211,7.704e-07,-0.00051995,0.008185,0.0021075,0
0.0018954,0.0005463,0,0.00211,1.1366e-06,-0.00064377,0.0089942,0.0021075,0
0.0013092,0.00077888,0,0.00211,1.5402e-06,-0.00077533,0.0098149,0.0021075,0
0.00055808,0.00098937,0,0.00211,1.9632e-06,-0.00091304,0.010647,0.0021075,0
-0.00034516,0.0011734,0,0.00211,2.3977e-06,-0.0010556,0.011492,0.0021075,0
-0.0013857,0.0013303,0,0.00211,2.8416e-06,-0.0012022,0.012348,0.0021075,0
-0.0025486,0.0014623,0,0.00211,3.296e-06,-0.001352,0.013216,0.0021075,0
-0.0038212,0.0015738,0,0.00211,3.764e-06,-0.001505,0.014097,0.0021075,0
-0.0051935,0.0016701,0,0.00211,4.2495e-06,-0.001661,0.014991,0.0021075,0
-0.0066591,0.0017568,0,0.00211,4.7566e-06,-0.0018201,0.015897,0.0021075,0
-0.0082148,0.0018384,0,0.00211,5.2883e-06,-0.0019827,0.016816,0.0021075,0
-0.00986,0.0019189,0,0.00211,5.8472e-06,-0.002149,0.017748,0.0021075,0
-0.011596,0.0020009,0,0.00211,6.4348e-06,-0.0023193,0.018693,0.0021075,0
-0.013427,0.002086,0,0.00211,7.052e-06,-0.0024936,0.019652,0.0021075,0
-0.015357,0.0021752,0,0.00211,7.699e-06,-0.002672,0.020625,0.0021075,0
-0.017389,0.0022687,0,0.00211,8.3757e-06,-0.0028544,0.021611,0.0021075,0
-0.019529,0.002366,0,0.00211,9.0813e-06,-0.0030405,0.022612,0.0021075,0
-0.02178,0.0024664,0,0.00211,9.8147e-06,-0.0032297,0.023627,0.0021075,0
-0.024146,0.0025689,0,0.00211,1.0575e-05,-0.0034214,0.024656,0.0021075,0
-0.026629,0.0026723,0,0.00211,1.1359e-05,-0.0036146,0.0257,0.0021075,0
-0.02923,0.0027752,0,0.00211,1.2166e-05,-0.003808,0.026758,0.0021075,0
-0.031948,0.0028759,0,0.00211,1.2992e-05,-0.0040002,0.027832,0.0021075,0
-0.034783,0.0029729,0,0.00211,1.3836e-05,-0.0041893,0.028921,0.0021075,0
-0.03773,0.0030645,0,0.00211,1.4693e-05,-0.0043731,0.030026,0.0021075,0
-0.040784,0.003149,0,0.00211,1.556e-05,-0.0045491,0.031146,0.0021075,0
-0.043938,0.0032243,0,0.00211,1.6433e-05,-0.0047143,0.032282,0.0021075,0
-0.047182,0.0032888,0,0.00211,1.7306e-05,-0.0048655,0.033435,0.0021075,0
-0.050504,0.0033403,0,0.00211,1.8176e-05,-0.0049986,0.034604,0.0021075,0
-0.053891,0.0033768,0,0.00211,1.9037e-05,-0.0051095,0.035789,0.0021075,0
-0.057326,0.0033961,0,0.00211,1.9883e-05,-0.0051934,0.036992,0.0021075,0
-0.06079,0.0033962,0,0.00211,2.0708e-05,-0.0052449,0.038211,0.0021075,0
-0.06426,0.0033746,0,0.00211,2.1504e-05,-0.0052583,0.039448,0.0021075,0
-0.067712,0.0033291,0,0.00211,2.2267e-05,-0.0052274,0.040703,0.0021075,0
-0.071118,0.0032569,0,0.00211,2.2987e-05,-0.0051455,0.041975,0.0021075,0
-0.074445,0.0031557,0,0.00211,2.3659e-05,-0.0050055,0.043266,0.0021075,0
-0.077659,0.0030226,0,0.00211,2.4273e-05,-0.0048004,0.044575,0.0021075,0
-0.080722,0.002855,0,0.00211,2.4823e-05,-0.0045226,0.045903,0.0021075,0
-0.083589,0.0026501,0,0.00211,2.53e-05,-0.0041649,0.047249,0.0021075,0
-0.086215,0.0024047,0,0.00211,2.5696e-05,-0.0037204,0.048615,0.0021075,0
-0.08854,0.0021172,0,0.00211,2.6002e-05,-0.0031845,0.05,0.0021075,0
3.2785e-05,-0.00030999,0,0,1.8178e-08,9.2888e-06,0,0.0028301,0
0.00014137,-0.00054606,0,0.00069505,1.0285e-07,1.9181e-05,0.00069259,0.0028301,0
0.00042927,-0.00094033,0,0.0013975,3.9818e-07,3.2939e-05,0.001395,0.0028301,0
0.00082271,-0.0011807,0,0.00211,9.4138e-07,3.2944e-05,0.0021075,0.0028301,0
0.0012582,-0.0012756,0,0.0026507,1.4505e-06,1.7431e-05,0.0028301,0.0028301,0
0.0016847,-0.0012403,0,0.0028327,1.5148e-06,-1.3446e-05,0.003563,0.0028301,0
0.0020578,-0.0010923,0,0.0028327,1.2155e-06,-5.9302e-05,0.0043064,0.0028301,0
0.0023358,-0.00085031,0,0.0028327,7.698e-07,-0.00011978,0.0050603,0.0028301,0
0.0024791,-0.00053247,0,0.0028327,4.504e-07,-0.00019436,0.005825,0.0028301,0
0.0024529,-0.00015788,0,0.0028327,6.7402e-07,-0.00028218,0.0066005,0.0028301,0
0.0022315,0.00025219,0,0.0028327,1.3681e-06,-0.0003821,0.0073872,0.0028301,0
0.0017996,0.00067556,0,0.0028327,2.2174e-06,-0.00049261,0.008185,0.0028301,0
0.0011522,0.0010916,0,0.0028327,3.108e-06,-0.00061206,0.0089942,0.0028301,0
0.00029317,0.0014832,0,0.0028327,4.0112e-06,-0.00073883,0.0098149,0.0028301,0
-0.00076643,0.0018377,0,0.0028327,4.9091e-06,-0.00087148,0.010647,0.0028301,0
-0.0020106,0.0021485,0,0.0028327,5.7918e-06,-0.0010089,0.011492,0.0028301,0
-0.0034214,0.0024146,0,0.0028327,6.6569e-06,-0.0011502,0.012348,0.0028301,0
-0.0049817,0.00264,0,0.0028327,7.5087e-06,-0.0012949,0.013216,0.0028301,0
-0.0066768,0.002832,0,0.0028327,8.3559e-06,-0.0014429,0.014097,0.0028301,0
-0.0084959,0.0029993,0,0.0028327,9.2088e-06,-0.0015942,0.014991,0.0028301,0
-0.010432,0.0031504,0,0.0028327,1.0078e-05,-0.0017488,0.015897,0.0028301,0
-0.012481,0.0032928,0,0.0028327,1.0972e-05,-0.0019071,0.016816,0.0028301,0
-0.014643,0.0034324,0,0.0028327,1.1897e-05,-0.0020691,0.017748,0.0028301,0
-0.016918,0.0035732,0,0.0028327,1.2858e-05,-0.0022352,0.018693,0.0028301,0
-0.01931,0.003718,0,0.0028327,1.3856e-05,-0.0024054,0.019652,0.0028301,0
-0.021823,0.003868,0,0.0028327,1.4894e-05,-0.0025797,0.020625,0.0028301,0
-0.02446,0.0040233,0,0.0028327,1.597e-05,-0.002758,0.021611,0.0028301,0
-0.027225,0.0041833,0,0.0028327,1.7081e-05,-0.00294,0.022612,0.0028301,0
-0.030121,0.0043467,0,0.0028327,1.8226e-05,-0.0031252,0.023627,0.0028301,0
-0.03315,0.0045116,0,0.0028327,1.94e-05,-0.003313,0.024656,0.0028301,0
-0.036314,0.004676,0,0.0028327,2.0599e-05,-0.0035024,0.0257,0.0028301,0
